,Title,Body,Title + Body,Actual,Predicted Cat
12,3 Collectible DC Horror Soul Plumber Comic Books - Mint Condition - in,"These look they were purchased by a dealer/collector.  Mint condition in plastic sleeves with a white cardboard back so they cannot be bend or creased.  No basement or tobacco odors.  Issues 1, 2 and 4 of 6 series.   Porch pick up - Gastonia   Actual photos - Not Internet photos.Gastonia, NC","3 collect dc horror soul plumber comic book - mint condit - inthes look purchas dealer/collector. mint condit plastic sleev white cardboard back cannot bend creased. basement tobacco odors. issu 1, 2 4 6 series. porch pick - gastonia actual photo - internet photos.gastonia, nc",Others,Others
13,137 pieces Craftsman tool set box,For sale 137 Craftsman tool set box in good condition. Asking $125 Best offer. More information call  show contact info,137 piec craftsman tool set boxfor sale 137 craftsman tool set box good condition. ask $125 best offer. inform call show contact info,Others,Others
14,"WALL CLOCK – LARGE, METAL","WALL CLOCK – LARGE, METALFor $120 is a working good condition 41” round large metal wall clock. I’m in HUNTERSVILLE (zipcode 28078) and I can meet you atMcDonald's near I77 exit 18 or 485 exit 21 - 9414 Northlake West Dr, Charlotte 28216 or McDonald's near I77 exit 23 - 14220 Boren St, Huntersville, NC 28078 or McDonald's near I77 exit 25 - 16834 Statesville Rd, Huntersville, NC 28078 or McDonald's near I77 exit 28 - 20500 Torrence Chapel Rd, Cornelius, NC 28031 or McDonald's near 485 exit 23 & hiway115 - 10249 Cane Creek Drive; Huntersville, NC 28078.In your response please let me know when and where you want to meet. Cash only please. Cross posted to various online sites. No trades or holds please. PAEWAN","wall clock – large, metalwal clock – large, metalfor $120 work good condit 41” round larg metal wall clock. i’m huntersvil (zipcod 28078) meet atmcdonald' near i77 exit 18 485 exit 21 - 9414 northlak west dr, charlott 28216 mcdonald' near i77 exit 23 - 14220 boren st, huntersville, nc 28078 mcdonald' near i77 exit 25 - 16834 statesvil rd, huntersville, nc 28078 mcdonald' near i77 exit 28 - 20500 torrenc chapel rd, cornelius, nc 28031 mcdonald' near 485 exit 23 & hiway115 - 10249 cane creek drive; huntersville, nc 28078.in respons pleas let know want meet. cash please. cross post variou onlin sites. trade hold please. paewan",Others,Others
15,Christmas Train,"Christmas Train by 'Trim A Home' in very nice condition. Battery operated. Train set comes with 4 cars ( engine, passenger, tender and caboose). Each car is about 12"" in length. There are 18' of track. 1 track is missing.","christma trainchristma train 'trim home' nice condition. batteri operated. train set come 4 car ( engine, passenger, tender caboose). car 12"" length. 18' track. 1 track missing.",Others,Others
16,Complete 10x10 all 4 season straight leg canopy + camping tent Beach Cabana,"Pickup near Libertyville, Illinois available 4pm to 8pm Monday-Friday. Saturday and Sunday pickups are available before 11am. Large interior and brightly lit garage available for inspection.SOLD OUT IN PAST YEARSALL 4 SEASONS! SUPER HEAVIER DUTY 150D WEATHER PROOF POLYESTER. Heatable. Great as a tent or beach cabana. New 10' XL costs $350. You get one 10x10 complete set. Less if you only need the tent. Best you can buy PREMIUM gray version with 8.5' ceilings, 4 doors, and 2 skylights. COMPLETE and ready to camp means both 8.5' tall standing height tent and the proper straight leg canopy are included. Tents connect door to door if you did want more rooms. Both sizes 2 large velcro openings for electrical cords, solar cables, or air conditioner hoses to the exterior, 4 doors, and 2 roof screens for viewing the night sky or charging solar panels. Interior loops at the top center and perimeter for lights, fan, and laundry line. Multiple large mesh pockets for organizing. Tent storage bag with directions sewn in so you will never lose them. Set up in a few minutes with one or two people. Waterproof on first use and high-sided tub like flooring. No annoying rain fly, if the windows and doors are closed the entire structure is waterproof. Highest of craftsmanship and well thought out design. Heater or air conditioner can be used inside under adult supervision.","complet 10x10 4 season straight leg canopi + camp tent beach cabanapickup near libertyville, illinoi avail 4pm 8pm monday-friday. saturday sunday pickup avail 11am. larg interior brightli lit garag avail inspection.sold past yearsal 4 seasons! super heavier duti 150d weather proof polyester. heatable. great tent beach cabana. new 10' xl cost $350. get one 10x10 complet set. less need tent. best buy premium gray version 8.5' ceilings, 4 doors, 2 skylights. complet readi camp mean 8.5' tall stand height tent proper straight leg canopi included. tent connect door door want rooms. size 2 larg velcro open electr cords, solar cables, air condition hose exterior, 4 doors, 2 roof screen view night sky charg solar panels. interior loop top center perimet lights, fan, laundri line. multipl larg mesh pocket organizing. tent storag bag direct sewn never lose them. set minut one two people. waterproof first use high-sid tub like flooring. annoy rain fly, window door close entir structur waterproof. highest craftsmanship well thought design. heater air condition use insid adult supervision.",Others,Others
17,40 & 45 lb dumbbells,2 x 40 lb2 x 45 lb    ,40 & 45 lb dumbbells2 x 40 lb2 x 45 lb,beauty+hlth,Others
18,Chewbacca,1977 star wars chewbacca greay condition,chewbacca1977 star war chewbacca greay condit,Others,Others
19,Retro HOLSTEN BRAUEREI Bar Beer Barrel Sign,"Old Retro HOLSTEN BRAUEREI Beer Barrel Bar Sign.  Sign made to look like the end of a cut off barrel with the beer logo.  It is 20"" in diameter by 5 1/4"" deep.  It is lightweight and easily hang-able.  Great piece.  From my mom's basement to yours.  Dan  show contact info.","retro holsten brauerei bar beer barrel signold retro holsten brauerei beer barrel bar sign. sign made look like end cut barrel beer logo. 20"" diamet 5 1/4"" deep. lightweight easili hang-able. great piece. mom' basement yours. dan show contact info.",Others,Others
20,Ivanko OM Series Plates 555 lbs,45 lb x 1025 lb x 210 lb x 45 lb x 22.5 lb x 2They are in good shape; they just need to be cleaned    ,ivanko om seri plate 555 lbs45 lb x 1025 lb x 210 lb x 45 lb x 22.5 lb x 2they good shape; need clean,Others,Others
21,Chainsaw Husqvarna 41,Husqvarna model 41 chainsaw Starts and runs strong Just the motor no bar or chain $75Call leave message or email meNo TEXT MESSAGES Call 708Six-zero-two-1957,chainsaw husqvarna 41husqvarna model 41 chainsaw start run strong motor bar chain $75call leav messag email meno text messag call 708six-zero-two-1957,Others,Others
22,Vintage canisters set,Metal vintage canisters with red flower on each,vintag canist setmet vintag canist red flower,Others,Others
23,Chicken coop,Chicken coop used only one Season,chicken coopchicken coop use one season,Others,Others
24,Minature army truck,"Hand painted minature army truck. FORD,  RECRUITMENT. brand new, camp randall minatures.","minatur armi truckhand paint minatur armi truck. ford, recruitment. brand new, camp randal minatures.",Others,Others
25,custom Screen Printed T shirt Merch Package 👕 📦," Premium Tiny Rock Star Mixed Merch Kit Special  Threaded Merch - Fresh, Raddest, West Coast Ink Slingers is what we are! Let’s get it! .Need us to design something Rad for your brand? We will custom sketch, design then screen print your quality merch! .Order Merch Package Here:https://www.threadedmerch.com/tiny-rockstar-merch-kit Premium Tiny Rock Star Mixed Merch Kit Special Includes: 12 Hoodies -  Premium Medium Weight Hoodies - 12 Premium T shirts - 12 Premium Long Sleeves - with your 1 color front & back uploaded design.One Color front print / One Color back print - Screen PrintedWhat you get:👕12 Independent Trading Co. Mid Weight Premium Pull Over Hoodies (IND400)👕 12 Next Level 3600 Soft Ringspun T Shirts (N 3600 )👕 12 Next Level 3600 Soft Ringspun Long Sleeves (N 3601 )👕 Bonus: Included FREE ""Custom Tagless Size Labels W/ Your Logo"" 👕 Free UPS Ground Shipping 👕 One Color Print (Additional Colors Extra) 👕 Sizes S-XL ( Plus sizes extra) 👕 1 Side / Location Screen Printed (Your Design Has More Colors? Only 75 cents each additional print color upgrade available) • Anything more than 1 colors, we will add an additional 75 cents per piece/ per additional color. • Any mix of sizes S through XL only.  2XL & 3 XL sizes are additional cost starting at $2.00 a pieces • Folded and Individually bagged all garments (at no additional cost, included for free with this special only!)•  FREE Local Pick Up from our Palmdale CA Facility or FREE Shipping anywhere in the USA.Need Quality Merch, 👕 custom screen printed for your clothing or to sell for your band merch? .Super soft inks on quality soft garment, not scratchy, and itchie fabric! In fashion fit cuts and sizes made for you, an actual human not some box. 📦 You are really going to want to wear this stuff.Hit us up and we will take care of you!Let’s get it! . Turn Key Ready Merch includes:🔵 Screen Printed Long Sleeves 👕.🔵 Branded Inside Neck Labels 🏷.🔵 Individually Clear Polybagged.🔵 Size Stickers.Order Here: “ https://www.threadedmerch.com/specials "" ————————————————————Sorry, Due To High Volume,No Walk-Ins Accepted, Only Appointments.For A Quote or to Schedule Appointment:.🖥Visit:  https:www.threadedmerch.com . 📱Call: 1-844-MY-MERCH📱 show contact info🔽🔽Email is best point of contact 🔽🔽📩Email: sales @ threadedmerch . com🏢Located: 38462 Sierra HWY Palmdale CA 93550.——————————————————","custom screen print shirt merch packag 👕 📦 premium tini rock star mix merch kit special thread merch - fresh, raddest, west coast ink slinger are! let’ get it! .need us design someth rad brand? custom sketch, design screen print qualiti merch! .order merch packag here:https://www.threadedmerch.com/tiny-rockstar-merch-kit premium tini rock star mix merch kit special includes: 12 hoodi - premium medium weight hoodi - 12 premium shirt - 12 premium long sleev - 1 color front & back upload design.on color front print / one color back print - screen printedwhat get:👕12 independ trade co. mid weight premium pull hoodi (ind400)👕 12 next level 3600 soft ringspun shirt (n 3600 )👕 12 next level 3600 soft ringspun long sleev (n 3601 )👕 bonus: includ free ""custom tagless size label w/ logo"" 👕 free up ground ship 👕 one color print (addit color extra) 👕 size s-xl ( plu size extra) 👕 1 side / locat screen print (your design colors? 75 cent addit print color upgrad available) • anyth 1 colors, add addit 75 cent per piece/ per addit color. • mix size xl only. 2xl & 3 xl size addit cost start $2.00 piec • fold individu bag garment (at addit cost, includ free special only!)• free local pick palmdal ca facil free ship anywher usa.ne qualiti merch, 👕 custom screen print cloth sell band merch? .super soft ink qualiti soft garment, scratchy, itchi fabric! fashion fit cut size made you, actual human box. 📦 realli go want wear stuff.hit us take care you!let’ get it! . turn key readi merch includes:🔵 screen print long sleev 👕.🔵 brand insid neck label 🏷.🔵 individu clear polybagged.🔵 size stickers.ord here: “ https://www.threadedmerch.com/speci "" ————————————————————sorry, due high volume,no walk-in accepted, appointments.for quot schedul appointment:.🖥visit: https:www.threadedmerch.com . 📱call: 1-844-my-merch📱 show contact info🔽🔽email best point contact 🔽🔽📩email: sale @ threadedmerch . com🏢located: 38462 sierra hwi palmdal ca 93550.——————————————————",Others,Others
26,5 piece fire place set brass & cast,5 piece fire place set brass & castShovelBroomPokerTongsHolder    ,5 piec fire place set brass & cast5 piec fire place set brass & castshovelbroompokertongshold,Others,Others
27,Pubs of Champaign U of I University of Illinois Bars Bar,"Framed Poster University of Illinois-U of I, PUBS OF CHAMPAIGN.  Already framed and ready to go.  Please see pictures.  Framed dimensions measure 21 1/2"" x 27 1/2"".  The poster looks rippled if you look from the side. The silver/gray frame has a couple of marks on it.  Fun!  Call for information.","pub champaign u univers illinoi bar barfram poster univers illinois-u i, pub champaign. alreadi frame readi go. pleas see pictures. frame dimens measur 21 1/2"" x 27 1/2"". poster look rippl look side. silver/gray frame coupl mark it. fun! call information.",Others,Others
